,Median,Iterative Imputer,miceforest,EM,Hot-Deck
Age,13.863621460498695,20.071667671950433,12.44588285337766,16.627959810154344,15.086417732516887
BMI,5.630887141472471,5.7804552827128,5.382870052304812,8.27261180543808,8.605448855231202
WBC,1.9536862593569115,3.62223625959566,0.5848504082241883,2.407202352027587,2.467040737401796
RBC,0.4176481772975909,0.7472866797136187,0.2293468988235944,0.5935303227585669,0.42589904907149095
HGB,6.457553716385176,16.70261936336264,6.663332499583072,11.300596158004486,17.52141546793523
HCT,3.469293876280878,3.093372694354053,1.4876155417311299,3.3604673546268167,4.4706822745527335
PLT,49.22804078977753,107.39797063216854,52.026916110797885,77.5985362621127,52.55758746365743
NE_abs,1.461506072515609,1.6092779068712546,0.40876643697838005,1.4336751545734805,3.007490648364513
LY_abs,0.39079406341447925,0.8831284100420903,0.9447803977644753,0.9531744327399659,0.5645529204600752
MO_abs,0.1489295135290517,0.2743141074731683,0.10290772565750347,0.20946338290661007,0.2656689669494727
Eo_Abs,0.1988089535207104,0.4314563119657417,0.17606816861659008,0.30469490907169855,0.2
Ba_abs,0.13099618315050252,0.2770466463682412,0.16480291259562135,0.1572119477601601,0.10658330075579384
Total_cholesterol,1.1486731475924734,1.7270796055436197,0.6285061654431082,0.9954373629044083,1.2565388971297307
LDL,1.1251622105278865,1.4456960343821936,0.4995698149408149,1.6998458591935472,1.2359409371001513
HDL,0.310298243630221,0.6657875214450766,0.2718823274874629,0.42689858797251784,0.4909378779438393
TG,0.8068828911310488,2.049463625481,1.0429765098025938,1.456765806266162,1.1133193611897712
Creatinine,12.0,23.804735292254293,12.501999840025595,19.250339085137927,21.227340860315028
ALAT,18.688231591030757,28.78109627309667,14.969969939849578,23.275985759187233,26.657081610709003
ASAT,8.160882305241266,24.430581956178706,14.057026712644463,13.938403765986935,11.34019400186787
Glucose,1.0921950375276388,1.1199425694470526,1.1858962855157278,1.0564491261342357,1.151038661383709
HbA1c,0.2,0.44314118078221887,0.20736441353327725,0.3395108105510216,0.5907622195096772
Target_fibrotic,13.568054024066974,15.673562912720772,4.762608528947135,14.653402192666961,13.247985507238452
Target_lipidic,5.116766557113975,13.315477643938303,3.9804057582110897,9.181421946409793,4.2773005505809385
Target_necrotic,7.2574554769560935,9.377065605328806,2.160083331725885,14.7439763131344,6.36413544796149
Target_Calcific,1.5935275334929109,3.5913436592422308,2.344574588278223,3.3167568399089613,1.3565102284907402
